Total Blocks,Main Blocks,Uncle blocks,Uncle Rate,Stale Blocks,Stale Rate,# transactions,Performance Time
2,2,0,0,0,0.0,3384,0.5155177116394043
3,3,0,0,0,0.0,5014,0.7810657024383545
9,9,0,0,0,0.0,15408,2.0620815753936768
11,11,0,0,0,0.0,18611,2.8118932247161865
21,21,0,0,0,0.0,35537,5.4312520027160645
20,20,0,0,0,0.0,33331,5.660180568695068
16,16,0,0,0,0.0,26689,4.311551570892334
22,22,0,0,0,0.0,36609,5.904347896575928
21,21,0,0,0,0.0,35259,5.8710222244262695
23,23,0,0,0,0.0,38506,6.57408595085144
28,28,0,0,0,0.0,46790,8.028884649276733
26,26,0,0,0,0.0,43496,7.782278299331665
31,31,0,0,0,0.0,51941,9.357170104980469
32,32,0,0,0,0.0,53873,9.846164464950562
23,23,0,0,0,0.0,38660,7.014006853103638
29,29,0,0,0,0.0,49249,8.358232498168945
39,39,0,0,0,0.0,66004,12.348010063171387
38,38,0,0,0,0.0,63350,12.50780963897705
44,44,0,0,0,0.0,74154,14.945415019989014
56,56,0,0,0,0.0,94117,19.503556489944458
62,62,0,0,0,0.0,104222,22.860139846801758
60,60,0,0,0,0.0,101097,22.154032707214355
59,59,0,0,0,0.0,99260,22.03567600250244
58,58,0,0,0,0.0,96583,21.205714464187622
59,59,0,0,0,0.0,98916,22.09053063392639
60,60,0,0,0,0.0,100611,22.37695074081421
72,72,0,0,0,0.0,120788,26.582697868347168
75,75,0,0,0,0.0,125864,28.267024755477905
79,79,0,0,0,0.0,132598,29.961669921875
83,83,0,0,0,0.0,139220,32.00404357910156
86,86,0,0,0,0.0,144511,32.67776155471802
81,81,0,0,0,0.0,136502,30.286031484603882
85,84,0,0,1,1.18,141106,32.33293128013611
69,69,0,0,0,0.0,115733,26.382206201553345
90,90,0,0,0,0.0,151288,34.13806509971619
89,89,0,0,0,0.0,149255,34.16415572166443
100,100,0,0,0,0.0,167582,38.39735126495361
95,95,0,0,0,0.0,159235,37.70302700996399
111,111,0,0,0,0.0,186537,43.94279599189758
101,101,0,0,0,0.0,169064,40.151535749435425
7,7,0,0,0,0.0,11882,1.5621235370635986
5,5,0,0,0,0.0,8361,1.1871862411499023
5,5,0,0,0,0.0,8311,1.2028346061706543
4,4,0,0,0,0.0,6675,1.0162453651428223
6,6,0,0,0,0.0,10034,1.46995210647583
7,7,0,0,0,0.0,11827,1.900083065032959
9,9,0,0,0,0.0,15311,2.19122576713562
10,10,0,0,0,0.0,16795,2.5764992237091064
14,14,0,0,0,0.0,23350,3.526951551437378
10,10,0,0,0,0.0,16951,2.6044857501983643
11,11,0,0,0,0.0,18442,2.7431702613830566
11,11,0,0,0,0.0,18205,2.721367120742798
9,9,0,0,0,0.0,15140,2.295877456665039
20,20,0,0,0,0.0,33953,5.114579677581787
11,11,0,0,0,0.0,18411,3.0903828144073486
7,7,0,0,0,0.0,11645,1.8796372413635254
9,9,0,0,0,0.0,14986,2.1787493228912354
14,14,0,0,0,0.0,23602,3.4683704376220703
11,11,0,0,0,0.0,18198,2.867633819580078
14,14,0,0,0,0.0,23742,3.4568557739257812
14,14,0,0,0,0.0,23455,3.688138008117676
14,14,0,0,0,0.0,23478,3.8678054809570312
11,11,0,0,0,0.0,18435,3.1540448665618896
20,20,0,0,0,0.0,33753,5.320570707321167
13,13,0,0,0,0.0,21931,3.8827502727508545
18,18,0,0,0,0.0,30247,5.1012184619903564
18,18,0,0,0,0.0,30217,5.018766164779663
13,13,0,0,0,0.0,22021,3.51728892326355
18,18,0,0,0,0.0,30066,4.777747631072998
14,14,0,0,0,0.0,23454,3.8394458293914795
25,25,0,0,0,0.0,42392,6.793301343917847
26,26,0,0,0,0.0,43756,7.780162811279297
22,22,0,0,0,0.0,37020,6.6666951179504395
20,20,0,0,0,0.0,33616,5.8230273723602295
30,30,0,0,0,0.0,50086,8.527294158935547
27,27,0,0,0,0.0,45180,8.221415519714355
20,20,0,0,0,0.0,33740,5.726741790771484
29,29,0,0,0,0.0,48621,8.29912543296814
20,20,0,0,0,0.0,33486,5.88703465461731
20,20,0,0,0,0.0,33383,5.393448114395142
5,5,0,0,0,0.0,8327,1.1898794174194336
