Total Blocks,Main Blocks,Uncle blocks,Uncle Rate,Stale Blocks,Stale Rate,# transactions,Performance Time
1,1,0,0,0,0.0,1710,0.3013780117034912
2,2,0,0,0,0.0,3364,0.5784437656402588
4,4,0,0,0,0.0,6831,1.0109171867370605
9,9,0,0,0,0.0,15088,2.2347795963287354
13,13,0,0,0,0.0,21885,3.280846118927002
12,12,0,0,0,0.0,20193,3.3737010955810547
11,11,0,0,0,0.0,18551,2.9625062942504883
19,19,0,0,0,0.0,31893,5.007842302322388
13,13,0,0,0,0.0,22083,3.660217046737671
18,18,0,0,0,0.0,29971,4.7783589363098145
27,27,0,0,0,0.0,45143,7.686251640319824
37,37,0,0,0,0.0,62398,11.491591691970825
37,37,0,0,0,0.0,62059,12.394928932189941
33,33,0,0,0,0.0,55089,11.004504919052124
30,30,0,0,0,0.0,50490,9.498176097869873
39,39,0,0,0,0.0,65644,12.616863012313843
39,39,0,0,0,0.0,65441,12.977790355682373
46,46,0,0,0,0.0,77169,15.791123867034912
51,51,0,0,0,0.0,85620,18.07101273536682
52,52,0,0,0,0.0,87095,18.948712587356567
30,30,0,0,0,0.0,49902,7.177154302597046
32,32,0,0,0,0.0,53496,9.988271236419678
42,42,0,0,0,0.0,71098,13.708680391311646
37,37,0,0,0,0.0,62327,12.63313364982605
35,35,0,0,0,0.0,58252,11.58521056175232
35,35,0,0,0,0.0,58853,11.521405696868896
27,27,0,0,0,0.0,45149,8.75541377067566
51,51,0,0,0,0.0,85709,16.504520654678345
39,39,0,0,0,0.0,65329,13.582642078399658
47,47,0,0,0,0.0,78697,16.228636264801025
58,58,0,0,0,0.0,98459,20.540066957473755
57,57,0,0,0,0.0,95667,20.9366352558136
47,47,0,0,0,0.0,78788,17.34035038948059
49,49,0,0,0,0.0,82287,17.414756298065186
71,70,0,0,1,1.41,117140,25.577502250671387
52,52,0,0,0,0.0,87363,19.3655526638031
78,78,0,0,0,0.0,130790,28.075307607650757
66,66,0,0,0,0.0,110573,24.97861361503601
75,75,0,0,0,0.0,126232,28.35256814956665
72,72,0,0,0,0.0,120383,27.044605255126953
48,48,0,0,0,0.0,80263,12.28391432762146
51,51,0,0,0,0.0,85197,17.687143325805664
39,39,0,0,0,0.0,65415,13.679975748062134
44,44,0,0,0,0.0,74407,15.1704740524292
55,55,0,0,0,0.0,92348,19.853625059127808
54,54,0,0,0,0.0,90575,19.930885791778564
62,62,0,0,0,0.0,104327,23.106640577316284
48,48,0,0,0,0.0,80403,17.62844443321228
58,58,0,0,0,0.0,97890,21.185376167297363
74,74,0,0,0,0.0,124347,27.731385946273804
73,73,0,0,0,0.0,121612,20.841129064559937
51,51,0,0,0,0.0,85769,13.816402673721313
75,75,0,0,0,0.0,125842,26.856200695037842
85,85,0,0,0,0.0,142470,34.27780270576477
69,68,0,0,1,1.45,114167,26.310973167419434
83,83,0,0,0,0.0,139090,31.949464559555054
100,100,0,0,0,0.0,167503,38.01308870315552
97,97,0,0,0,0.0,162456,37.39133620262146
90,90,0,0,0,0.0,150831,34.98391151428223
98,98,0,0,0,0.0,164377,37.683327436447144
102,102,0,0,0,0.0,171568,40.55176544189453
5,5,0,0,0,0.0,8298,1.1887784004211426
3,3,0,0,0,0.0,5053,0.8294234275817871
